"year","iteration","sAg","ppnCUsLowerBM"
24,"19",53284.3162450936,NA
24,"20",73346.8051313616,NA
25,"1",81958.9861478168,NA
25,"2",76219.875399205,NA
25,"3",78371.7033302789,NA
25,"4",77603.1454668395,NA
25,"5",200934.849100464,NA
25,"6",208959.759114736,NA
25,"7",157679.969692339,NA
25,"8",149399.545322211,NA
25,"9",128325.858778861,NA
25,"10",214964.572001918,NA
25,"11",206048.730872676,NA
25,"12",124842.800181591,NA
25,"13",88211.0005446642,NA
25,"14",120300.244904215,NA
25,"15",161112.067087587,NA
25,"16",128553.698023167,NA
25,"17",81549.4645933237,NA
25,"18",77506.8161652354,NA
25,"19",91964.7917680577,NA
25,"20",125026.527845059,NA
26,"1",75964.2873442976,NA
26,"2",90098.4075511619,NA
26,"3",177893.567959703,NA
26,"4",88405.7337960127,NA
26,"5",140910.830300285,NA
26,"6",159775.667680304,NA
26,"7",182541.850452531,NA
26,"8",110161.595323195,NA
26,"9",164636.431870995,NA
26,"10",209082.031900821,NA
26,"11",84979.0473142223,NA
26,"12",209786.503575303,NA
26,"13",133500.650138477,NA
26,"14",117947.086885039,NA
26,"15",104071.694035827,NA
26,"16",164929.850992203,NA
26,"17",68604.4545375964,NA
26,"18",86812.8529167042,NA
26,"19",161445.326510168,NA
26,"20",147625.287591919,NA
27,"1",82862.9776658191,NA
27,"2",100007.50639848,NA
27,"3",116894.589827042,NA
27,"4",92567.8114408556,NA
27,"5",213733.391212001,NA
27,"6",187725.697586857,NA
27,"7",104322.766044599,NA
27,"8",155649.095120308,NA
27,"9",126375.818056899,NA
27,"10",58052.0717350752,NA
27,"11",119199.359618916,NA
27,"12",99850.4236455356,NA
27,"13",113499.281833899,NA
27,"14",129160.956008396,NA
27,"15",71095.4681222179,NA
27,"16",158377.546379908,NA
27,"17",175112.642387802,NA
27,"18",116540.153572749,NA
27,"19",134499.199809947,NA
27,"20",180610.509120433,NA
28,"1",100394.928823153,NA
28,"2",147222.11722377,NA
28,"3",114840.171707519,NA
28,"4",109743.637711203,NA
28,"5",238550.170899242,NA
28,"6",50682.0935673898,NA
28,"7",97278.4388232147,NA
28,"8",73541.5759418342,NA
28,"9",190563.502146183,NA
28,"10",111915.790472711,NA
28,"11",124884.980062758,NA
28,"12",99252.8225733073,NA
28,"13",95137.955771732,NA
28,"14",261878.547865076,NA
28,"15",47091.6246053782,NA
